   RELATÓRIO DE EXTRAÇÃO


  tema   /   frase   /   repetições   /   sentença (texto original)

  filho  /  crônico 28 1 ora davi convocar jerusalém todo chefe israel chefe tribo chefe turma servir rei chefe mil chefe cem intendente todo bem possessão rei filho oficial homem valoroso valente  /  4  /  i crônicas 28 1 ora , davi convocou a jerusalém todos os chefes de israel , os chefes das tribos , os chefes das turmas que serviam o rei , os chefes de mil , e os chefes de cem , e os intendentes de todos os bens e possessões do rei e de seus filhos , como também os oficiais e os homens mais valorosos e valentes
  filho  /  19 porque cavalo faraó carro cavaleiro entrar mar senhor tornar água mar sobre filho israel passar seco meio mar  /  1  /  19 porque os cavalos de faraó , com os seus carros e com os seus cavaleiros , entraram no mar , e o senhor fez tornar as águas do mar sobre eles , mas os filhos de israel passaram em seco pelo meio do mar
  filho  /  11 modo todo judeu moabe filho amom edom haver todo país ouvir rei babilônio haver deixado resto judá haver posto sobre guedalias aicão filho safã  /  2  /  11 do mesmo modo , quando todos os judeus que estavam em moabe , e entre os filhos de amom , e em edom , e os que havia em todos os países , ouviram que o rei de babilônia havia deixado um resto em judá , e que havia posto sobre eles a guedalias , o de aicão , filho de safã
  filho  /  poder invalidar pacto dia pacto noite tal modo haver dia noite tempo 21 poder invalidar pacto davi servo filho reinar trono  /  8  /  se puderdes invalidar o meu pacto com o dia , e o meu pacto com a noite , de tal modo que não haja dia e noite a seu tempo , 21 também se poderá invalidar o meu pacto com davi , meu servo , para que não tenha filho que reine no seu trono
  filho  /  filho efraim geração família segundo casa pai conforme número nome vinte ano cima todo poder sair guerra 33 contado tribo efraim quarenta mil quinhentos  /  1  /  dos filhos de efraim , as suas gerações , pelas suas famílias , segundo as casas de seus pais , conforme o número dos nomes dos de vinte anos para cima , todos os que podiam sair à guerra , 33 os que foram contados deles , da tribo de efraim , eram quarenta mil e quinhentos
  filho  /  43 rei reinar terra edom antes haver rei sobre filho israel  /  1  /  43 estes foram os reis que reinaram na terra de edom , antes que houvesse rei sobre os filhos de israel
  filho  /  31 verdade cidade desde dia edificar dia hoje provocado ira furor sorte remover diante mim 32 causa todo maldade filho israel filho judá provocar ira rei príncipe sacerdote profeta homem judá morador jerusalém  /  5  /  31 na verdade esta cidade , desde o dia em que a edificaram e até o dia de hoje , tem provocado a minha ira e o meu furor , de sorte que eu a removerei de diante de mim , 32 por causa de toda a maldade dos filhos de israel e dos filhos de judá , que fizeram para me provocarem à ira , eles e os seus reis , os seus príncipes , os seus sacerdotes e os seus profetas , como também os homens de judá e os moradores de jerusalém
  filho  /  sofonias sofonias 1 1 palavra senhor veio sofonias filho cuche filho gedalias filho amar filho ezequias dia josias filho amom rei judá  /  1  /  ) sofonias sofonias 1 1 a palavra do senhor que veio a sofonias , filho de cuche , filho de gedalias , filho de amarias , filho de ezequias , nos dias de josias , filho de amom , rei de judá
  filho  /  romano romano 1 1 paulo servo jesus cristo chamado apóstolo separado evangelho deus 2 antes haver prometido por+os profeta santo escritura 3 acerca filho nascer descendência davi segundo carne 4 poder declarado filho deus segundo espírito santidade ressurreição mortos-jesus cristo senhor 5 receber graça apostolado amor nome obediência fé todo gentio 6 vós chamado jesus cristo  /  3  /  romanos romanos 1 1 paulo , servo de jesus cristo , chamado para ser apóstolo , separado para o evangelho de deus , 2 que ele antes havia prometido pelos seus profetas nas santas escrituras , 3 acerca de seu filho , que nasceu da descendência de davi segundo a carne , 4 e que com poder foi declarado filho de deus segundo o espírito de santidade , pela ressurreição dentre os mortos-jesus cristo nosso senhor , 5 pelo qual recebemos a graça e o apostolado , por amor do seu nome , para a obediência da fé entre todos os gentios , 6 entre os quais sois também vós chamados para serdes de jesus cristo
