   RELATÓRIO DE EXTRAÇÃO


  tema   /   frase   /   repetições   /   sentença (texto original)

  deus  /  louvor glória sabedoria ação graça honra poder força deus por+os século século  /  1  /  o louvor , e a glória , e a sabedoria , e as ações de graças , e a honra , e o poder , e a força sejam ao nosso deus , pelos séculos dos séculos
  deus  /  dizer pois deus querer mostrar ira dar conhecer poder suportar longanimidade vaso ira 171 preparado perdição fim dessar conhecer riqueza glória vaso misericórdia glória preparar antemão nó chamar judeu gentio  /  1  /  que diremos , pois , se deus , querendo mostrar a sua ira e dar a conhecer o seu poder , suportou com muita longanimidade os vasos de ira , 171 preparados para a perdição , a fim de que também desse a conhecer as riquezas da sua glória em vasos de misericórdia , que para glória preparou de antemão , os quais somos nós , a quem também chamou , não só dentre os judeus , mas também dentre os gentios
  deus  /  ora deus pai jesus senhor dirigir caminho vós senhor crescer aumentar amor outro todo nó comigo fim vosso coração confirmado santidade isento culpa presença deus pai vinda senhor jesus todo santo  /  1  /  ora , o nosso mesmo deus e pai , e jesus , nosso senhor , dirijam-nos o caminho até vós , e o senhor vos faça crescer e aumentar no amor uns para com os outros e para com todos , como também nós para convosco , a fim de que seja o vosso coração confirmado em santidade , isento de culpa , na presença de nosso deus e pai , na vinda de nosso senhor jesus , com todos os seus santos
  deus  /  porém manifestar benignidade deus salvador amor todo obra justiça praticado nó segundo misericórdia salvar mediante lavar regenerador renovador espírito santo derramar sobre nó ricamente meio jesus cristo salvador fim justificado graça tornar herdeiro segundo esperança vida eterno  /  1  /  quando , porém , se manifestou a benignidade de deus , nosso salvador , e o seu amor para com todos , não por obras de justiça praticadas por nós , mas segundo sua misericórdia , ele nos salvou mediante o lavar regenerador e renovador do espírito santo , que ele derramou sobre nós ricamente , por meio de jesus cristo , nosso salvador , a fim de que , justificados por graça , nos tornemos seus herdeiros , segundo a esperança da vida eterna
  deus  /  assim aprender cristo fato ouvido nele instruído segundo verdade jesus sentido quantum trato passado despojar velho homem corromper segundo concupiscência engano renovar espírito vosso entendimento revistar novo homem criado segundo deus justiça retidão procedente verdade  /  3  /  mas não foi assim que aprendestes a cristo , se é que , de fato , o tendes ouvido e nele fostes instruídos , segundo é a verdade em jesus , no sentido de que , quanto ao trato passado , vos despojeis do velho homem , que se corrompe segundo as concupiscências do engano , e vos renoveis no espírito do vosso entendimento , e vos revistais do novo homem , criado segundo deus , em justiça e retidão procedentes da verdade
  deus  /  querer entretanto saber cristo cabeça todo homem homem cabeça mulher deus cabeça cristo  /  1  /  quero , entretanto , que saibais ser cristo o cabeça de todo homem , e o homem , o cabeça da mulher , e deus , o cabeça de cristo
  deus  /  porque demo conhecer poder vinda senhor jesus cristo seguir fábula engenhosamente inventado nó fomo testemunha ocular majestade pois receber parte deus pai honra glória glória excelso enviado seguinte voz  /  1  /  porque não vos demos a conhecer o poder e a vinda de nosso senhor jesus cristo seguindo fábulas engenhosamente inventadas , mas nós mesmos fomos testemunhas oculares da sua majestade , pois ele recebeu , da parte de deus pai , honra e glória , quando pela glória excelsa lhe foi enviada a seguinte voz
  deus  /  272 segundo epístola joão presbítero senhor eleito filho amo verdade somente todo conhecer verdade causa verdade permanecer nó comigo estar sempre graça misericórdia paz parte deus pai jesus cristo filho pai comigo verdade amor  /  8  /  272 segunda epístola de joão o presbítero à senhora eleita e aos seus filhos , a quem eu amo na verdade e não somente eu , mas também todos os que conhecem a verdade , por causa da verdade que permanece em nós e conosco estará para sempre , a graça , a misericórdia e a paz , da parte de deus pai e de jesus cristo , o filho do pai , serão conosco em verdade e amor
  deus  /  ouvido fé vós senhor jesus amor todo santo cessar dar graça vós menção vós oração deus senhor jesus cristo pai glória conceder espírito sabedoria revelação pleno conhecimento iluminado olho vosso coração saber esperança chamamento riqueza glória herança santo supremo grandeza poder crer segundo eficácia força poder  /  6  /  por isso , também eu , tendo ouvido a fé que há entre vós no senhor jesus e o amor para com todos os santos , não cesso de dar graças por vós , fazendo menção de vós nas minhas orações , para que o deus de nosso senhor jesus cristo , o pai da glória , vos conceda espírito de sabedoria e de revelação no pleno conhecimento dele , iluminados os olhos do vosso coração , para saberdes qual é a esperança do seu chamamento , qual a riqueza da glória da sua herança nos santos e qual a suprema grandeza do seu poder para com os que cremos , segundo a eficácia da força do seu poder
  deus  /  vós carta escrito coração conhecido lido todo homem estar manifesto carta cristo produzido ministério escrito tinto espírito deus vivente tábua pedra tábua carne coração  /  1  /  vós sois a nossa carta , escrita em nosso coração , conhecida e lida por todos os homens , estando já manifestos como carta de cristo , produzida pelo nosso ministério , escrita não com tinta , mas pelo espírito do deus vivente , não em tábuas de pedra , mas em tábuas de carne , isto é , nos corações
  deus  /  vós recebido palavra nó ouvir deus acolher palavra homem sim verdade palavra deus efeito estar operar eficazmente vós crer  /  1  /  é que , tendo vós recebido a palavra que de nós ouvistes , que é de deus , acolhestes não como palavra de homens , e sim como , em verdade é , a palavra de deus , a qual , com efeito , está operando eficazmente em vós , os que credes
  deus  /  239 porquanto graça deus manifestar salvador todo homem educando renegado impiedade paixão mundano vivar presente século sensato justo piedosamente aguardar bendito esperança manifestação glória grande deus salvador cristo jesus si dar nó fim remir todo iniqüidade purificar si povo exclusivamente zeloso bom obra  /  1  /  239 porquanto a graça de deus se manifestou salvadora a todos os homens , educando-nos para que , renegadas a impiedade e as paixões mundanas , vivamos , no presente século , sensata , justa e piedosamente , aguardando a bendita esperança e a manifestação da glória do nosso grande deus e salvador cristo jesus , o qual a si mesmo se deu por nós , a fim de remir-nos de toda iniqüidade e purificar , para si mesmo , um povo exclusivamente seu , zeloso de boas obras
  deus  /  162 epístola paulo romano paulo servo jesus cristo chamado apóstolo separado evangelho deus deus outrora prometido intermédio profeta sagrado escritura respeito filho segundo carne veio descendência davi designado filho deus poder segundo espírito santidade ressurreição morto saber jesus cristo senhor intermédio vir receber graça apostolado amor nome obediência fé todo gentio cujo número vós chamado jesus cristo  /  1  /  162 epístola de paulo aos romanos paulo , servo de jesus cristo , chamado para ser apóstolo , separado para o evangelho de deus , o qual foi por deus , outrora , prometido por intermédio dos seus profetas nas sagradas escrituras , com respeito a seu filho , o qual , segundo a carne , veio da descendência de davi e foi designado filho de deus com poder , segundo o espírito de santidade pela ressurreição dos mortos , a saber , jesus cristo , nosso senhor , por intermédio de quem viemos a receber graça e apostolado por amor do seu nome , para a obediência por fé , entre todos os gentios , de cujo número sois também vós , chamados para serdes de jesus cristo
  dizer  /  hoje quatro dia volta hora estar observar casa hora nono oração eis apresentar diante mim varão veste resplandecente dizer  /  1  /  faz , hoje , quatro dias que , por volta desta hora , estava eu observando em minha casa a hora nona de oração , e eis que se apresentou diante de mim um varão de vestes resplandecentes e disse
  dizer  /  dizer pois deus querer mostrar ira dar conhecer poder suportar longanimidade vaso ira 171 preparado perdição fim dessar conhecer riqueza glória vaso misericórdia glória preparar antemão nó chamar judeu gentio  /  2  /  que diremos , pois , se deus , querendo mostrar a sua ira e dar a conhecer o seu poder , suportou com muita longanimidade os vasos de ira , 171 preparados para a perdição , a fim de que também desse a conhecer as riquezas da sua glória em vasos de misericórdia , que para glória preparou de antemão , os quais somos nós , a quem também chamou , não só dentre os judeus , mas também dentre os gentios
  dizer  /  dizer porém menos rigor haver dia juízo terra sodoma comigo  /  1  /  digo-vos , porém , que menos rigor haverá , no dia do juízo , para com a terra de sodoma do que para contigo
  dizer  /  coisa falar parábola dizer  /  1  /  e de muitas coisas lhes falou por parábolas e dizia
  dizer  /  dizer hora diante beber fruto videiro dia haver beber novo comigo reino pai  /  1  /  e digo-vos que , desta hora em diante , não beberei deste fruto da videira , até aquele dia em que o hei de beber , novo , convosco no reino de meu pai
  dizer  /  homem observar claramente durante visão cerca hora nono dia anjo deus aproximar dizer  /  1  /  esse homem observou claramente durante uma visão , cerca da hora nona do dia , um anjo de deus que se aproximou dele e lhe disse
  dizer  /  verdade dizer menos rigor haver sodoma gomorra dia juízo cidade  /  2  /  em verdade vos digo que menos rigor haverá para sodoma e gomorra , no dia do juízo , do que para aquela cidade
  dizer  /  verdade verdade dizer ver céu aberto anjo deus subir descer sobre filho homem  /  1  /  em verdade , em verdade vos digo que vereis o céu aberto e os anjos de deus subindo e descendo sobre o filho do homem
  dizer  /  coisa dizer filho deus olho chama fogo pé semelhante bronze polido  /  2  /  estas coisas diz o filho de deus , que tem os olhos como chama de fogo e os pés semelhantes ao bronze polido
  dizer  /  alcançar socorro deus permanecer dia hoje dar testemunho tanto pequeno grande nado dizer senão profeta moisés dizer haver acontecer cristo dever padecer primeiro ressurreição morto anunciar luz povo gentio  /  4  /  mas , alcançando socorro de deus , permaneço até ao dia de hoje , dando testemunho , tanto a pequenos como a grandes , nada dizendo , senão o que os profetas e moisés disseram haver de acontecer , isto é , que o cristo devia padecer e , sendo o primeiro da ressurreição dos mortos , anunciaria a luz ao povo e aos gentios
  homem  /  nó ouvido lei cristo permanecer sempre dizer necessário filho homem levantado  /  1  /  nós temos ouvido da lei que o cristo permanece para sempre , e como dizes tu ser necessário que o filho do homem seja levantado
  homem  /  querer entretanto saber cristo cabeça todo homem homem cabeça mulher deus cabeça cristo  /  1  /  quero , entretanto , que saibais ser cristo o cabeça de todo homem , e o homem , o cabeça da mulher , e deus , o cabeça de cristo
  homem  /  vós recebido palavra nó ouvir deus acolher palavra homem sim verdade palavra deus efeito estar operar eficazmente vós crer  /  1  /  é que , tendo vós recebido a palavra que de nós ouvistes , que é de deus , acolhestes não como palavra de homens , e sim como , em verdade é , a palavra de deus , a qual , com efeito , está operando eficazmente em vós , os que credes
  coisa  /  ora invocar pai acepção pessoa julgar segundo obra cada portar temor durante tempo vosso peregrinação saber mediante coisa corruptível prata ouro resgatado vosso fútil procedimento vosso pai legar precioso sangue cordeiro defeito mácula sangue cristo conhecido efeito antes fundação mundo porém manifestado fim tempo amor vós meio fé deus ressuscitar morto dar glória sorte vosso fé esperança estar deus  /  2  /  ora , se invocais como pai aquele que , sem acepção de pessoas , julga segundo as obras de cada um , portai-vos com temor durante o tempo da vossa peregrinação , sabendo que não foi mediante coisas corruptíveis , como prata ou ouro , que fostes resgatados do vosso fútil procedimento que vossos pais vos legaram , mas pelo precioso sangue , como de cordeiro sem defeito e sem mácula , o sangue de cristo , conhecido , com efeito , antes da fundação do mundo , porém manifestado no fim dos tempos , por amor de vós que , por meio dele , tendes fé em deus , o qual o ressuscitou dentre os mortos e lhe deu glória , de sorte que a vossa fé e esperança estejam em deus
  coisa  /  chegado monte sião cidade deus vivo jerusalém celestial incontável hoste anjo universal assembléia igreja primogênito arrolar céu deus juiz todo espírito justo aperfeiçoar jesus mediador novo aliança sangue aspersão fala coisa superior fala próprio abel  /  3  /  mas tendes chegado ao monte sião e à cidade do deus vivo , a jerusalém celestial , e a incontáveis hostes de anjos , e à universal assembléia e igreja dos primogênitos arrolados nos céus , e a deus , o juiz de todos , e aos espíritos dos justos aperfeiçoados , e a jesus , o mediador da nova aliança , e ao sangue da aspersão que fala coisas superiores ao que fala o próprio abel
  coisa  /  porque estar bem certo morte vida anjo principado coisa presente porvir poder altura profundidade qualquer outro criatura poder separar amor deus estar cristo jesus senhor  /  1  /  porque eu estou bem certo de que nem a morte , nem a vida , nem os anjos , nem os principados , nem as coisas do presente , nem do porvir , nem os poderes , nem a altura , nem a profundidade , nem qualquer outra criatura poderá separar-nos do amor de deus , que está em cristo jesus , nosso senhor
  coisa  /  18 todo coisa dizer jesus multidão parábola parábola nado dizer  /  1  /  18 todas estas coisas disse jesus às multidões por parábolas e sem parábolas nada lhes dizia
  coisa  /  coisa falar parábola dizer  /  1  /  e de muitas coisas lhes falou por parábolas e dizia
  coisa  /  porque ainda algum chamar deus quer céu sobre terra deus senhor todavia nó deus pai todo coisa existir  /  1  /  porque , ainda que há também alguns que se chamem deuses , quer no céu ou sobre a terra , como há muitos deuses e muitos senhores , todavia , para nós há um só deus , o pai , de quem são todas as coisas e para quem existimos
  coisa  /  amor predestinar adoção filho meio jesus cristo segundo beneplácito vontade louvor glória graça conceder gratuitamente amado redenção sangue remissão pecado segundo riqueza graça deus derramar abundantemente sobre nó todo sabedoria prudência desvendar mistério vontade segundo beneplácito propor cristo convergir nele dispensação plenitude tempo todo coisa tanto céu terra  /  26  /  e em amor nos predestinou para ele , para a adoção de filhos , por meio de jesus cristo , segundo o beneplácito de sua vontade , para louvor da glória de sua graça , que ele nos concedeu gratuitamente no amado , no qual temos a redenção , pelo seu sangue , a remissão dos pecados , segundo a riqueza da sua graça , que deus derramou abundantemente sobre nós em toda a sabedoria e prudência , desvendando-nos o mistério da sua vontade , segundo o seu beneplácito que propusera em cristo , de fazer convergir nele , na dispensação da plenitude dos tempos , todas as coisas , tanto as do céu como as da terra
  coisa  /  amor perder todo coisa considerar refugo ganhar cristo achado nele justiça próprio proceder lei senão mediante fé cristo justiça proceder deus baseado fé  /  5  /  por amor do qual perdi todas as coisas e as considero como refugo , para ganhar a cristo e ser achado nele , não tendo justiça própria , que procede de lei , senão a que é mediante a fé em cristo , a justiça que procede de deus , baseada na fé
  coisa  /  multidão atender unânime coisa filipe dizer ouvir ver sinais operar  /  1  /  as multidões atendiam , unânimes , às coisas que filipe dizia , ouvindo-as e vendo os sinais que ele operava
  coisa  /  arrepender pois converter cancelado vosso pecado fim presença senhor vir tempo refrigério enviar cristo designado jesus necessário céu receber tempo restauração todo coisa deus falar boca santo profeta desde antiguidade  /  1  /  arrependei-vos , pois , e convertei-vos para serem cancelados os vossos pecados , a fim de que , da presença do senhor , venham tempos de refrigério , e que envie ele o cristo , que já vos foi designado , jesus , ao qual é necessário que o céu receba até aos tempos da restauração de todas as coisas , de que deus falou por boca dos seus santos profetas desde a antiguidade
  coisa  /  coisa dizer filho deus olho chama fogo pé semelhante bronze polido  /  1  /  estas coisas diz o filho de deus , que tem os olhos como chama de fogo e os pés semelhantes ao bronze polido
  coisa  /  coisa dizer santo verdadeiro chave davi abrir ninguém fechar fecha ninguém abrir  /  1  /  estas coisas diz o santo , o verdadeiro , aquele que tem a chave de davi , que abre , e ninguém fechará , e que fecha , e ninguém abrirá
  cristo  /  ora invocar pai acepção pessoa julgar segundo obra cada portar temor durante tempo vosso peregrinação saber mediante coisa corruptível prata ouro resgatado vosso fútil procedimento vosso pai legar precioso sangue cordeiro defeito mácula sangue cristo conhecido efeito antes fundação mundo porém manifestado fim tempo amor vós meio fé deus ressuscitar morto dar glória sorte vosso fé esperança estar deus  /  5  /  ora , se invocais como pai aquele que , sem acepção de pessoas , julga segundo as obras de cada um , portai-vos com temor durante o tempo da vossa peregrinação , sabendo que não foi mediante coisas corruptíveis , como prata ou ouro , que fostes resgatados do vosso fútil procedimento que vossos pais vos legaram , mas pelo precioso sangue , como de cordeiro sem defeito e sem mácula , o sangue de cristo , conhecido , com efeito , antes da fundação do mundo , porém manifestado no fim dos tempos , por amor de vós que , por meio dele , tendes fé em deus , o qual o ressuscitou dentre os mortos e lhe deu glória , de sorte que a vossa fé e esperança estejam em deus
  cristo  /  229 primeiro epístola paulo timóteo paulo apóstolo cristo jesus mandato deus salvador cristo jesus esperança timóteo verdadeiro filho fé graça misericórdia paz parte deus pai cristo jesus senhor  /  1  /  229 primeira epístola de paulo a timóteo paulo , apóstolo de cristo jesus , pelo mandato de deus , nosso salvador , e de cristo jesus , nossa esperança , a timóteo , verdadeiro filho na fé , graça , misericórdia e paz , da parte de deus pai e de cristo jesus , nosso senhor
  cristo  /  ouvido fé vós senhor jesus amor todo santo cessar dar graça vós menção vós oração deus senhor jesus cristo pai glória conceder espírito sabedoria revelação pleno conhecimento iluminado olho vosso coração saber esperança chamamento riqueza glória herança santo supremo grandeza poder crer segundo eficácia força poder  /  8  /  por isso , também eu , tendo ouvido a fé que há entre vós no senhor jesus e o amor para com todos os santos , não cesso de dar graças por vós , fazendo menção de vós nas minhas orações , para que o deus de nosso senhor jesus cristo , o pai da glória , vos conceda espírito de sabedoria e de revelação no pleno conhecimento dele , iluminados os olhos do vosso coração , para saberdes qual é a esperança do seu chamamento , qual a riqueza da glória da sua herança nos santos e qual a suprema grandeza do seu poder para com os que cremos , segundo a eficácia da força do seu poder
  cristo  /  238 epístola paulo tito paulo servo deus apóstolo jesus cristo promover fé eleito deus pleno conhecimento verdade segundo piedade esperança vida eterno deus poder mentir prometer antes tempo eterno tempo devido manifestar palavra mediante pregação confiado mandato deus salvador tito verdadeiro filho segundo fé comum graça paz parte deus pai cristo jesus salvador  /  1  /  238 epístola de paulo a tito paulo , servo de deus e apóstolo de jesus cristo , para promover a fé que é dos eleitos de deus e o pleno conhecimento da verdade segundo a piedade , na esperança da vida eterna que o deus que não pode mentir prometeu antes dos tempos eternos e , em tempos devidos , manifestou a sua palavra mediante a pregação que me foi confiada por mandato de deus , nosso salvador , a tito , verdadeiro filho , segundo a fé comum , graça e paz , da parte de deus pai e de cristo jesus , nosso salvador
  cristo  /  162 epístola paulo romano paulo servo jesus cristo chamado apóstolo separado evangelho deus deus outrora prometido intermédio profeta sagrado escritura respeito filho segundo carne veio descendência davi designado filho deus poder segundo espírito santidade ressurreição morto saber jesus cristo senhor intermédio vir receber graça apostolado amor nome obediência fé todo gentio cujo número vós chamado jesus cristo  /  1  /  162 epístola de paulo aos romanos paulo , servo de jesus cristo , chamado para ser apóstolo , separado para o evangelho de deus , o qual foi por deus , outrora , prometido por intermédio dos seus profetas nas sagradas escrituras , com respeito a seu filho , o qual , segundo a carne , veio da descendência de davi e foi designado filho de deus com poder , segundo o espírito de santidade pela ressurreição dos mortos , a saber , jesus cristo , nosso senhor , por intermédio de quem viemos a receber graça e apostolado por amor do seu nome , para a obediência por fé , entre todos os gentios , de cujo número sois também vós , chamados para serdes de jesus cristo
  cristo  /  assim habitar cristo vosso coração fé estar vós arraigado alicerçado amor fim poder compreender todo santo largura comprimento altura profundidade conhecer amor cristo exceder todo entendimento tomado todo plenitude deus  /  1  /  e , assim , habite cristo no vosso coração , pela fé , estando vós arraigados e alicerçados em amor , a fim de poderdes compreender , com todos os santos , qual é a largura , e o comprimento , e a altura , e a profundidade e conhecer o amor de cristo , que excede todo entendimento , para que sejais tomados de toda a plenitude de deus
  ver  /  ver todavia pouco feito menor anjo jesus causa sofrimento morte coroado glória honra graça deus provar morte todo homem  /  1  /  vemos , todavia , aquele que , por um pouco , tendo sido feito menor que os anjos , jesus , por causa do sofrimento da morte , foi coroado de glória e de honra , para que , pela graça de deus , provasse a morte por todo homem
  ver  /  verdade verdade dizer ver céu aberto anjo deus subir descer sobre filho homem  /  1  /  em verdade , em verdade vos digo que vereis o céu aberto e os anjos de deus subindo e descendo sobre o filho do homem
