   RELATÓRIO DE EXTRAÇÃO


  tema   /   frase   /   repetições   /   sentença (texto original)

  lula  /  aécio poder antes lula  /  2  /  aécio pode ir antes de lula
  lula  /  poder admitir parlamentar pt ameaça incitação violência caso lula condenado  /  2  /  não podemos admitir que parlamentares do pt façam ameaças e incitação à violência caso lula seja condenado
  lula  /  @leitor1919 @mlganga tudo interessar janot petralha criar caso facilitar volta lula  /  1  /  @leitor1919 @mlganga tudo interessa , janot é um petralha que está criando caso para facilitar a volta de lula
  lula  /  chegar fala lula escolher temer  /  2  /  chegou a que fala q o lula escolheu o temer
  lula  /  lula poder pt sai cena  /  1  /  e se lula não pode mais , o pt sai de cena
  lula  /  faltar lula dilma josé dirceu josé genuíno antonio palocci josé vacari guido mantega  /  2  /  faltou lula , dilma , josé dirceu , josé genuíno , antonio palocci , josé vacari , guido mantega
  pt  /  poder admitir parlamentar pt ameaça incitação violência caso lula condenado  /  2  /  não podemos admitir que parlamentares do pt façam ameaças e incitação à violência caso lula seja condenado
  pt  /  lula poder pt sai cena  /  1  /  e se lula não pode mais , o pt sai de cena
  janot  /  @leitor1919 @mlganga tudo interessar janot petralha criar caso facilitar volta lula  /  1  /  @leitor1919 @mlganga tudo interessa , janot é um petralha que está criando caso para facilitar a volta de lula
  janot  /  @lobaoeletrico janot achar prova tão fácil contra temer acha contra lula dilma  /  2  /  @lobaoeletrico janot achou provas tão fáceis contra temer e pq não acha contra lula e dilma , pq será
  poder  /  tema nao convergiu  /  1  /  null - nao convergiu
  brasil  /  tema nao convergiu  /  1  /  null - nao convergiu
  aécio  /  aécio poder antes lula  /  2  /  aécio pode ir antes de lula
  condenação  /  tema nao convergiu  /  1  /  null - nao convergiu
  jbs  /  tema nao convergiu  /  1  /  null - nao convergiu
  preso  /  tema nao convergiu  /  1  /  null - nao convergiu
  prova  /  tema nao convergiu  /  1  /  null - nao convergiu
  ladrão  /  tema nao convergiu  /  1  /  null - nao convergiu
  corrupção  /  tema nao convergiu  /  1  /  null - nao convergiu
