 facilidade 1.0
facilidade internet 1.0
internet proporcionar 1.0
proporcionar ninguém 1.0
ninguém desmarcar 1.0
desmarcar compromisso 1.0
compromisso conferência 1.0
conferência custo 1.0
custo dever 1.0
dever menor 1.0
menor paginar 1.0
paginar discussão 1.0
discussão cuidado 1.0
cuidado forma 1.0
forma participação 2.0
participação direto 1.0
direto sociedade 1.0
singularidade democracia 1.0
democracia respeito 1.0
respeito direito 1.0
direito minoria 1.0
minoria indivíduo 1.0
incomum maioria 1.0
maioria decidir 1.0
decidir guilhotina 1.0
guilhotina fogueira 1.0
fogueira favor 1.0
favor porte 1.0
porte arma 1.0
arma diminuição 1.0
diminuição maioridade 1.0
maioridade penal 1.0
participação popular 10.0
popular existente 1.0
existente vinculantes 1.0
vinculantes vinculantes 1.0
vinculantes efetivo 1.0
efetivo ferramenta 1.0
ferramenta conselho 1.0
conselho deliberativo 1.0
deliberativo poder 1.0
poder criado 3.0
criado nível 1.0
nível federação 1.0
município possuir 1.0
possuir autonomia 1.0
autonomia constituir 1.0
constituir número 1.0
número conselho 1.0
conselho necessário 1.0
necessário população 1.0
população possar 2.0
possar participar 1.0
participar gestão 1.0
gestão público 3.0
matéria sujeito 1.0
sujeito caráter 1.0
caráter deliberativo 1.0
deliberativo dever 1.0
dever expressamente 1.0
expressamente previsto 1.0
previsto lei 1.0
lei disciplinador 1.0
disciplinador conselho 1.0
conselho número 1.0
número participante 1.0
participante governamental 1.0
governamental não-governamentais 1.0
não-governamentais funcionalidade 1.0
ressalva-e lei 1.0
lei iniciativo 1.0
iniciativo exclusivo 1.0
exclusivo chefe 1.0
chefe executivo 1.0
executivo vez 1.0
vez conselho 1.0
conselho equipar 1.0
equipar órgão 1.0
órgão público 1.0
público dizer 1.0
dizer respeito 1.0
respeito estrutura 1.0
estrutura administrativo 1.0
administrativo municipal 1.0
corralo 2010 1.0
2010 diverso 1.0
diverso âmbito 1.0
âmbito articulação 1.0
articulação social 1.0
social poder 1.0
poder mobilizado 1.0
mobilizado transformado 1.0
transformado excelente 1.0
excelente espaço 1.0
espaço consulto 2.0
parcela expressivo 1.0
expressivo população 1.0
população envolvido 1.0
envolvido organização 1.0
organização grande 1.0
grande capilaridade 1.0
capilaridade instituição 1.0
instituição laboral 1.0
laboral sindicato 1.0
sindicato associação 1.0
associação trabalhador 1.0
trabalhador instituição 1.0
instituição educacional 1.0
educacional escola 1.0
escola curso 1.0
curso universidade 1.0
universidade instituição 1.0
instituição religioso 1.0
produção divulgação 1.0
divulgação vídeo 1.0
vídeo despertar 1.0
despertar membro 1.0
membro organização 1.0
organização importância 1.0
importância transformá-las 1.0
transformá-las âmbito 1.0
âmbito diálogo 1.0
diálogo político 1.0
político ajudar 1.0
ajudar criar 1.0
criar novo 1.0
novo espaço 1.0
consulto sociedade 2.0
usar rede 1.0
rede social 4.0
social articular 1.0
articular grupo 1.0
grupo produzir 1.0
produzir divulgar 1.0
divulgar vídeo 1.0
vídeo parecer 1.0
parecer caminho 1.0
caminho promissor 1.0
cidade excelente 1.0
excelente plataforma 1.0
plataforma exercício 1.0
exercício concreto 1.0
concreto cidadania 1.0
prático justamente 1.0
justamente debate 1.0
debate latência 1.0
latência pps 1.0
pps espaço 1.0
espaço cidade 1.0
cidade estada 1.0
estada país 1.0
distrito forma 1.0
forma menor 1.0
menor territorialização 1.0
territorialização dever 1.0
dever servir 1.0
servir núcleo 1.0
núcleo base 1.0
base partir 1.0
partir vário 1.0
vário pensamento 1.0
pensamento demanda 1.0
demanda concreto 1.0
concreto construído 1.0
espaço consolidar 1.0
consolidar através 1.0
através rede 1.0
rede finalidade 1.0
finalidade construção 1.0
construção visão 1.0
visão pauta 1.0
pauta plano 1.0
dizer resposta 1.0
resposta necessidade 1.0
necessidade capacitar 1.0
capacitar população 1.0
população participação 1.0
existir grupo 1.0
grupo organizado 1.0
organizado participar 1.0
participar discutir 1.0
discutir trabalhar 1.0
trabalhar prol 1.0
prol coletividade 1.0
associação bairro 1.0
bairro cooperativo 1.0
cooperativo ong 1.0
ong etc 1.0
merecer atenção 1.0
atenção burocratização 1.0
lado bairro 1.0
bairro local 1.0
local articulação 1.0
deve estimulado 1.0
trabalho poder 1.0
poder começar 2.0
começar escola 2.0
escola meio 1.0
meio conselho 1.0
conselho pai 1.0
pai culminar 1.0
culminar espaço 1.0
espaço coletivo 1.0
coletivo comunidade 1.0
comunidade fechado 1.0
fechado aberto 1.0
aberto delinear 1.0
delinear rede 1.0
rede população 1.0
possar ouvido 1.0
ouvido resultar 1.0
resultar solução 1.0
solução questão 1.0
questão imediato 1.0
imediato próprio 1.0
próprio grupo 1.0
grupo invés 1.0
invés sobrecarregar 1.0
sobrecarregar gestão 1.0
público além 1.0
além melhoria 1.0
melhoria relação 1.0
relação social 1.0
social efetivação 1.0
efetivação melhoria 1.0
melhoria uso 1.0
uso espaço 1.0
espaço livre 1.0
livre equipamento 1.0
equipamento coletivo 1.0
coletivo público 1.0
público quedo 1.0
quedo violência 1.0
violência etc 1.0
primeiro coisa 2.0
coisa pensado 1.0
pensado levantamento 1.0
levantamento dado 1.0
dado informação 1.0
informação população 2.0
população pesquisar 1.0
pesquisar buscar 1.0
buscar compreendê-la 1.0
compreendê-la estruturalmente 1.0
estruturalmente dar 1.0
dar questionário 1.0
questionário tratado 1.0
tratado forma 1.0
forma considerar 1.0
considerar pensamento 1.0
pensamento cultural 1.0
cultural forma 1.0
forma estrutura 1.0
estrutura viver 1.0
seguido internet 1.0
internet espaço 1.0
espaço rede 1.0
social site 1.0
site oficial 1.0
oficial fundamental 1.0
fundamental consulto 1.0
consulto social 1.0
social criar 1.0
criar necessariamente 1.0
necessariamente maior 1.0
maior divulgação 2.0
divulgação questionário 1.0
questionário salientar 1.0
salientar importância 1.0
ambiente virtual 1.0
virtual prefeitura 1.0
prefeitura governo 1.0
governo estadual 1.0
estadual administrador 1.0
administrador regional 1.0
regional dever 1.0
dever periodicamente 1.0
periodicamente reunião 1.0
reunião população 1.0
população discussão 1.0
discussão tema 2.0
tema nacional 2.0
nacional voltado 1.0
voltado necessidade 1.0
necessidade governo 1.0
governo federal 2.0
federal feito 1.0
feito ata 1.0
ata resumo 1.0
resumo geral 1.0
geral opinião 1.0
opinião social 1.0
social entregue 1.0
entregue forma 1.0
forma dado 1.0
dado governo 1.0
federal analisar 1.0
analisar dado 1.0
dado aumentar 1.0
aumentar relação 1.0
relação governante 1.0
governante cidadão 1.0
conselho grupo 2.0
grupo discussão 2.0
discussão local 1.0
local bairro 1.0
bairro exemplo 1.0
exemplo conselho 1.0
discussão temático 1.0
temático vinculado 1.0
vinculado representante 1.0
representante legislativo 1.0
legislativo valorização 1.0
valorização ampliação 1.0
ampliação conselho 2.0
conselho municipal 2.0
estímulo gestão 1.0
gestão participativo 1.0
participativo escola 1.0
escola público 1.0
público privado 1.0
privado conselho 1.0
conselho escola 1.0
fortalecimento instrumento 1.0
instrumento participação 1.0
popular plebiscito 1.0
plebiscito referendo 2.0
referendo projeto 1.0
projeto iniciativo 1.0
iniciativo popular 1.0
popular tema 2.0
tema interesse 2.0
interesse coletivo 1.0
coletivo afetar 1.0
afetar vida 1.0
vida cidadão 1.0
diverso país 1.0
país aproveitar 1.0
aproveitar momento 1.0
momento eleição 1.0
eleição consulto 1.0
consulto plebiscito 1.0
plebiscito tema 1.0
interesse população 1.0
forma mandato 1.0
mandato assumir 1.0
assumir base 1.0
base opinião 1.0
opinião compor 1.0
compor compromisso 1.0
compromisso campanha 1.0
campanha baliza 1.0
baliza gestão 1.0
diminuindo poder 1.0
poder influência 1.0
influência pesquisa 1.0
pesquisa opinião 2.0
opinião realizado 1.0
realizado meio 1.0
meio comunicação 2.0
comunicação assumir 1.0
assumir autoridade 1.0
autoridade público 2.0
público mandato 2.0
mandato método 1.0
saber ordem 1.0
ordem formulação 1.0
formulação pergunta 1.0
pergunta pesquisa 1.0
opinião poder 1.0
poder mudar 1.0
mudar radicalmente 1.0
radicalmente resultado 1.0
mandato possar 1.0
possar consulto 1.0
consulto meio 1.0
meio privado 1.0
privado competência 1.0
competência definido 1.0
definido interesse 1.0
interesse trás 1.0
espaço surgir 1.0
surgir tecnologia 1.0
tecnologia disponível 1.0
barreira principal 1.0
principal espaço 1.0
espaço cultural 2.0
cultural educacional 1.0
educacional acesso 1.0
acesso internet 2.0
penso espaço 1.0
espaço participação 2.0
participação dever 1.0
dever explorado 1.0
explorado escola 1.0
escola treinar 1.0
treinar jovem 1.0
jovem participação 1.0
popular meio 1.0
meio tecnologia 1.0
existir diverso 1.0
diverso conselho 1.0
conselho temático 1.0
temático político 1.0
político público 9.0
público âmbito 1.0
âmbito municipal 2.0
municipal estadual 3.0
estadual nacional 1.0
cidadão poder 2.0
poder participar 3.0
participar conselho 2.0
conselho papel 1.0
papel fiscalizar 1.0
fiscalizar decidir 1.0
decidir político 1.0
diverso estudo 1.0
estudo discussão 1.0
discussão constatar 1.0
constatar deficiência 1.0
deficiência capacitação 1.0
capacitação conselheiro 1.0
conselheiro dificuldade 1.0
dificuldade estabelecer 1.0
estabelecer vínculo 1.0
vínculo conselho 1.0
conselho sociedade 1.0
sociedade falto 1.0
falto engajamento 1.0
engajamento pessoa 1.0
pessoa participar 1.0
tecnologia poder 2.0
poder trazer 1.0
trazer inovação 1.0
inovação modelo 1.0
modelo funcionamento 1.0
funcionamento conselho 1.0
conselho político 1.0
determinado tipo 2.0
tipo consulto 1.0
consulto decisão 1.0
decisão poder 1.0
poder feito 3.0
feito online 1.0
online por+os 1.0
por+os conselheiro 1.0
conselheiro ex 1.0
decisão favor 1.0
favor deliberação 1.0
deliberação simples 1.0
tipo fiscalização 1.0
fiscalização âmbito 1.0
municipal poder 1.0
feito celular 1.0
celular ex 1.0
foto geo 1.0
geo localização 1.0
localização celular 1.0
celular identificar 1.0
identificar problema 1.0
problema cidade 1.0
poder estimular 1.0
estimular qualificar 2.0
qualificar participação 2.0
participação cidadão 5.0
cidadão conselho 1.0
acessibilidade internet 1.0
internet possível 1.0
possível permitir 1.0
permitir participação 1.0
participação amplo 1.0
amplo setor 1.0
setor marginalizado 1.0
marginalizado exemplo 1.0
exemplo consulto 1.0
consulto população 1.0
população internet 1.0
internet conhecer 1.0
conhecer prefs 1.0
prefs página 1.0
página facebock 1.0
facebock prefeitura 1.0
prefeitura curitiba 1.0
tema debatido 1.0
debatido respondido 1.0
página prefeito 1.0
prefeito prefeitura 1.0
projeto governo 1.0
governo projeto 1.0
projeto estada 1.0
situação descrever 1.0
descrever resposta 1.0
resposta transparência 1.0
chega político 1.0
político bissexto 1.0
habilitação canal 1.0
canal comunicação 2.0
comunicação digital 1.0
digital conversação 1.0
conversação sociedade 1.0
sociedade viabilizar 1.0
viabilizar divulgação 1.0
divulgação preparação 1.0
preparação realização 1.0
realização consulto 2.0
consulto através 1.0
através certificado 1.0
certificado digital 1.0
digital eleitoral 1.0
meio permitir 1.0
permitir escalar 1.0
escalar tempo 1.0
tempo modo 1.0
modo contínuo 1.0
contínuo prático 1.0
prático participação 1.0
participação interessado 1.0
interessado processo 1.0
banco brasileiro 1.0
brasileiro exemplo 1.0
exemplo possibilidade 1.0
possibilidade abordagem 1.0
abordagem adotado 1.0
adotado negócio 1.0
negócio comunicação 1.0
comunicação efetivo 1.0
efetivo número 1.0
número enorme 1.0
enorme cliente 1.0
processo poder 1.0
criado mantido 1.0
mantido custo 1.0
custo baixo 1.0
possibilidade existir 1.0
existir tímido 1.0
tímido município 1.0
bastar funcionar 1.0
cidadania hábito 1.0
hábito conduta 1.0
conduta estabelecer 1.0
estabelecer disseminação 1.0
disseminação referência 1.0
referência educacional 1.0
educacional adequado 1.0
fundamental desenvolver 1.0
desenvolver processo 1.0
processo formação 1.0
formação cultura 1.0
cultura político 1.0
político cidadão 1.0
cidadão haver 1.0
haver engajamento 1.0
engajamento tema 1.0
tema coletividade 1.0
uso mídia 1.0
mídia deve 1.0
deve pensado 1.0
pensado forma 1.0
forma integrado 1.0
integrado alinhamento 1.0
alinhamento escola 1.0
escola universidade 1.0
universidade ongs 1.0
ongs associação 1.0
associação classista 1.0
classista bairro 1.0
bairro existir 1.0
existir cultura 1.0
cultura debate 1.0
debate envolvimento 1.0
envolvimento pessoal 1.0
pessoal causa 1.0
causa público 1.0
público busca 1.0
busca comum 1.0
dever trabalhar 1.0
trabalhar aumentar 1.0
aumentar espaço 1.0
espaço plebiscito 1.0
plebiscito consulto 1.0
consulto popular 2.0
tema polêmico 1.0
polêmico interesse 1.0
interesse sociedade 1.0
entender tecnologia 1.0
tecnologia meio 1.0
meio fácil 1.0
fácil claro 1.0
claro estimular 1.0
tornar disponível 1.0
disponível cidadão 1.0
cidadão forma 1.0
forma seguro 1.0
seguro rápido 1.0
rápido referendo 1.0
referendo plebiscito 1.0
plebiscito poder 1.0
feito alto 1.0
alto custo 1.0
forma possibilidade 1.0
possibilidade voto 1.0
voto trânsito 1.0
sistema votação 1.0
votação através 1.0
através computador 1.0
computador rede 1.0
rede vpn 1.0
vpn seguro 1.0
seguro verificação 1.0
verificação digital 1.0
fim voto 1.0
voto obrigatório 1.0
obrigatório princípio 1.0
princípio amadurecimento 1.0
amadurecimento eleitor 1.0
eleitor eleição 2.0
resposta dado 1.0
dado primeiro 1.0
primeiro questão 1.0
meio uso 1.0
uso ferramenta 1.0
criado melhorado 1.0
melhorado plataforma 1.0
plataforma digital 1.0
digital participação 1.0
popular comando 1.0
comando simples 1.0
simples direto 1.0
direto ligado 1.0
ligado diretamente 1.0
diretamente pauta 1.0
pauta proposto 1.0
poder escolher 1.0
escolher assunto 1.0
assunto poder 1.0
participar entender 1.0
entender significar 1.0
significar assunto 1.0
assunto transmitido 1.0
transmitido linguagem 1.0
linguagem claro 1.0
claro simplificar 1.0
brasil conta 1.0
conta diverso 1.0
diverso instituição 1.0
instituição consulto 1.0
consulto construção 1.0
construção político 2.0
novo meio 1.0
comunicação proveem 1.0
proveem notícia 1.0
notícia respeito 1.0
conferência conselho 1.0
conselho órgão 1.0
órgão gestor 1.0
gestor fornecer 1.0
fornecer meio 1.0
meio possibilidade 1.0
possibilidade amplo 1.0
amplo participação 1.0
cidadão período 1.0
período eleitoral 1.0
haver discussão 1.0
discussão amplo 1.0
amplo critério 1.0
critério participação 1.0
participação instância 1.0
instância forma 1.0
forma legitimá-las 1.0
legitimá-las fornecer 1.0
fornecer devido 1.0
devido heterogeneidade 1.0
heterogeneidade visão 1.0
visão atinente 1.0
atinente diverso 1.0
diverso político 1.0
político discussão 1.0
criar espaço 5.0
espaço associação 1.0
associação morador 2.0
morador associação 1.0
associação pai 1.0
pai mestre 1.0
mestre forma 1.0
forma envolvido 1.0
envolvido assunto 1.0
assunto político 1.0
político questão 1.0
